#,Country,Body,Screen,Battery,Accessories,Price,Key
98,Export,GradeA,GradeB,81-85%,CableBox,880,Export_GradeA_GradeB_81-85%_CableBox
99,Export,GradeA,GradeC,91-100%,None,880,Export_GradeA_GradeC_91-100%_None
100,Export,GradeC,GradeA,86-90%,CableBox,880,Export_GradeC_GradeA_86-90%_CableBox
101,Local,GradeB,GradeB,86-90%,Cable,879,Local_GradeB_GradeB_86-90%_Cable
102,Export,GradeB,GradeA,86-90%,Cable,879,Export_GradeB_GradeA_86-90%_Cable
103,Local,GradeB,GradeA,81-85%,Cable,878,Local_GradeB_GradeA_81-85%_Cable
104,Local,GradeB,GradeC,91-100%,CableBox,875,Local_GradeB_GradeC_91-100%_CableBox
105,Local,GradeC,GradeB,91-100%,Cable,875,Local_GradeC_GradeB_91-100%_Cable
106,Local,GradeC,GradeA,86-90%,None,874,Local_GradeC_GradeA_86-90%_None
107,Local,GradeA,GradeC,81-85%,CableBox,871,Local_GradeA_GradeC_81-85%_CableBox
108,Export,GradeA,GradeC,86-90%,CableBox,871,Export_GradeA_GradeC_86-90%_CableBox
109,Export,GradeB,GradeB,91-100%,Box,870,Export_GradeB_GradeB_91-100%_Box
110,Local,GradeA,GradeB,80%,Box,868,Local_GradeA_GradeB_80%_Box
111,Export,GradeA,GradeA,80%,Box,868,Export_GradeA_GradeA_80%_Box
112,Local,GradeA,Defective,91-100%,CableBox,865,Local_GradeA_Defective_91-100%_CableBox
113,Export,GradeA,GradeB,81-85%,Box,865,Export_GradeA_GradeB_81-85%_Box
114,Export,GradeB,GradeB,91-100%,Cable,865,Export_GradeB_GradeB_91-100%_Cable
115,Export,GradeC,GradeA,86-90%,Box,865,Export_GradeC_GradeA_86-90%_Box
116,Local,GradeB,GradeB,86-90%,None,864,Local_GradeB_GradeB_86-90%_None
117,Export,GradeB,GradeA,86-90%,None,864,Export_GradeB_GradeA_86-90%_None
118,Local,GradeA,GradeB,80%,Cable,863,Local_GradeA_GradeB_80%_Cable
119,Local,GradeB,GradeA,81-85%,None,863,Local_GradeB_GradeA_81-85%_None
120,Export,GradeA,GradeA,80%,Cable,863,Export_GradeA_GradeA_80%_Cable
121,Local,GradeB,GradeC,91-100%,Box,860,Local_GradeB_GradeC_91-100%_Box
122,Local,GradeC,GradeB,91-100%,None,860,Local_GradeC_GradeB_91-100%_None
123,Export,GradeA,GradeB,81-85%,Cable,860,Export_GradeA_GradeB_81-85%_Cable
124,Export,GradeC,GradeA,86-90%,Cable,860,Export_GradeC_GradeA_86-90%_Cable
125,Local,GradeA,GradeC,81-85%,Box,856,Local_GradeA_GradeC_81-85%_Box
126,Export,GradeA,GradeC,86-90%,Box,856,Export_GradeA_GradeC_86-90%_Box
127,Local,GradeB,GradeC,91-100%,Cable,855,Local_GradeB_GradeC_91-100%_Cable
128,Local,GradeC,GradeA,81-85%,CableBox,853,Local_GradeC_GradeA_81-85%_CableBox
129,Local,GradeC,GradeB,86-90%,CableBox,852,Local_GradeC_GradeB_86-90%_CableBox
130,Local,GradeA,GradeC,81-85%,Cable,851,Local_GradeA_GradeC_81-85%_Cable
131,Export,GradeA,GradeC,86-90%,Cable,851,Export_GradeA_GradeC_86-90%_Cable
132,Local,GradeA,Defective,91-100%,Box,850,Local_GradeA_Defective_91-100%_Box
133,Export,GradeB,GradeB,91-100%,None,850,Export_GradeB_GradeB_91-100%_None
134,Local,GradeB,GradeA,80%,CableBox,849,Local_GradeB_GradeA_80%_CableBox
135,Local,GradeA,GradeB,80%,None,848,Local_GradeA_GradeB_80%_None
136,Export,GradeA,GradeA,80%,None,848,Export_GradeA_GradeA_80%_None
137,Local,GradeA,Defective,91-100%,Cable,845,Local_GradeA_Defective_91-100%_Cable
138,Export,GradeA,GradeB,81-85%,None,845,Export_GradeA_GradeB_81-85%_None
139,Export,GradeC,GradeA,86-90%,None,845,Export_GradeC_GradeA_86-90%_None
140,Local,GradeB,GradeB,81-85%,CableBox,844,Local_GradeB_GradeB_81-85%_CableBox
